//X Y Z R G B Nx Ny Nz
58.10025024 -51.48324966 3.35474992 71 56 255 0.000000 0.000000 0.000000
58.08274841 -51.42074966 3.38750005 71 56 255 0.000000 0.000000 0.000000
58.13525009 -51.62625122 3.43199992 70 56 255 0.000000 0.000000 0.000000
58.18024826 -51.66474915 3.50600004 70 56 255 0.000000 0.000000 0.000000
58.08250046 -51.52225113 3.43849993 70 56 255 0.000000 0.000000 0.000000
58.04600143 -51.48899841 3.51600003 70 56 255 0.000000 0.000000 0.000000
58.14324951 -51.31250000 3.46350002 71 56 255 0.000000 0.000000 0.000000
58.10400009 -51.32324982 3.50399995 71 56 255 0.000000 0.000000 0.000000
58.17300034 -51.59925079 3.59949994 70 56 255 0.000000 0.000000 0.000000
58.17525101 -51.60074997 3.63975000 70 56 255 0.000000 0.000000 0.000000
58.07424927 -51.51324844 3.55450010 70 56 255 0.000000 0.000000 0.000000
58.09424973 -51.47375107 3.63949990 71 56 255 0.000000 0.000000 0.000000
58.03924942 -51.42800140 3.47375011 71 56 255 0.000000 0.000000 0.000000
58.04349899 -51.38499832 3.49874997 71 56 255 0.000000 0.000000 0.000000
58.01599884 -51.36000061 3.54425001 71 56 255 0.000000 0.000000 0.000000
57.99974823 -51.34474945 3.62774992 71 56 255 0.000000 0.000000 0.000000
58.00149918 -51.34500122 3.70324993 71 56 255 0.000000 0.000000 0.000000
58.02925110 -51.25500107 3.69624996 71 56 255 0.000000 0.000000 0.000000
57.57524872 -53.93624878 8.51700020 66 61 255 0.000000 0.000000 0.000000
57.57125092 -53.99250031 8.61524963 66 61 255 0.000000 0.000000 0.000000
57.62224960 -53.97900009 8.56624985 66 61 255 0.000000 0.000000 0.000000
57.90024948 -53.78799820 8.61849976 67 60 255 0.000000 0.000000 0.000000
57.72900009 -53.73625183 8.57775021 66 60 255 0.000000 0.000000 0.000000
57.78250122 -53.67924881 8.64299965 67 60 255 0.000000 0.000000 0.000000
57.84799957 -53.78224945 8.77075005 67 60 255 0.000000 0.000000 0.000000
57.77500153 -53.71575165 8.72299957 67 60 255 0.000000 0.000000 0.000000
57.74575043 -53.58774948 8.60499954 67 60 255 0.000000 0.000000 0.000000
57.84725189 -53.67950058 8.69649982 67 60 255 0.000000 0.000000 0.000000
57.88724899 -53.65674973 8.73824978 67 60 255 0.000000 0.000000 0.000000
57.90399933 -53.62500000 8.72000027 67 60 255 0.000000 0.000000 0.000000
57.84349823 -53.56850052 8.75150013 67 60 255 0.000000 0.000000 0.000000
57.66999817 -53.68024826 8.64799976 66 60 255 0.000000 0.000000 0.000000
57.23350143 -54.05049896 8.97350025 65 61 255 0.000000 0.000000 0.000000
57.31674957 -53.91299820 9.08325005 66 61 255 0.000000 0.000000 0.000000
58.26924896 -51.99425125 8.15474987 70 57 255 0.000000 0.000000 0.000000
59.58074951 -51.98574829 9.21074963 72 55 255 0.000000 0.000000 0.000000
57.88499832 -53.37950134 8.61524963 67 59 255 0.000000 0.000000 0.000000
